376687,5450743,HN280932,01/01/2001 12:01:00 AM,031XX N LAKE SHORE DR,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,2332,19,44,6,06,1173466,1920961,2001,04/22/2007 06:28:40 AM,41.938539069,-87.637877712,"(41.938539069, -87.637877712)"
378877,5454570,HN284916,01/01/2001 12:01:00 AM,014XX N SPRINGFIELD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,f,f,2535,25,30,23,20,1150081,1909099,2001,06/15/2007 03:05:05 AM,41.906477092,-87.724133004,"(41.906477092, -87.724133004)"
382234,5461146,HN285060,01/18/2001 01:00:00 AM,011XX W LUNT AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,f,f,2423,24,49,1,17,1166767,1946693,2001,01/24/2008 01:05:03 AM,42.009294992,-87.661756569,"(42.009294992, -87.661756569)"
383041,5462733,HN290220,01/01/2001 01:00:00 AM,058XX S INDIANA AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,f,t,233,2,20,40,20,1178551,1866538,2001,04/25/2007 05:57:12 AM,41.789084341,-87.620849345,"(41.789084341, -87.620849345)"
390668,5477970,HN300670,08/27/2001 09:00:00 AM,113XX S RACINE AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,f,f,2234,22,34,75,10,1170395,1829620,2001,05/27/2007 02:40:48 AM,41.687957805,-87.651826519,"(41.687957805, -87.651826519)"
392787,5482733,HN302641,02/01/2001 12:00:00 PM,064XX N HAMILTON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,f,f,2412,24,50,2,06,1160840,1942810,2001,05/15/2007 06:10:18 AM,41.99876544,-87.683672172,"(41.99876544, -87.683672172)"
393790,5484949,HN271595,09/01/2001 12:01:00 AM,026XX S DRAKE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,f,f,1032,10,22,30,20,1153172,1886064,2001,05/01/2007 07:13:54 AM,41.843205782,-87.713389643,"(41.843205782, -87.713389643)"
406563,5508664,HN320275,01/01/2001 12:00:00 AM,009XX N HARDING AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,f,t,1112,11,27,23,02,1149843,1906023,2001,06/11/2007 03:52:33 PM,41.898040875,-87.725087394,"(41.898040875, -87.725087394)"
410654,5516939,HN332633,04/27/2001 12:01:00 AM,026XX N ELSTON AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,DEPARTMENT STORE,f,f,1432,14,1,22,06,1160826,1917640,2001,05/16/2007 06:13:58 AM,41.92969802,-87.684424913,"(41.92969802, -87.684424913)"
411365,5518556,HN333969,09/10/2001 10:00:00 AM,037XX W OHIO ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,1122,11,27,23,06,1151381,1903702,2001,06/25/2007 01:50:43 AM,41.891641756,-87.719499409,"(41.891641756, -87.719499409)"
