766,CHA ELEVATOR,35,1178949,1886145,41.842878515,-87.618792215,"(41.842878515, -87.618792215)",99
767,APARTMENT,25,1138893,1904346,41.893644967,-87.765347056,"(41.893644967, -87.765347056)",100
771,HOUSE,71,1170827,1847522,41.737074199,-87.64972468,"(41.737074199, -87.64972468)",101
772,STREET,22,1151308,1915874,41.925044308,-87.719447579,"(41.925044308, -87.719447579)",102
773,CHA APARTMENT,35,1176730,1886544,41.844023772,-87.626923253,"(41.844023772, -87.626923253)",103
774,AUTO,25,1139361,1905238,41.89608421,-87.763606473,"(41.89608421, -87.763606473)",104
775,AUTO,23,1150827,1905071,41.89540929,-87.72149816,"(41.89540929, -87.72149816)",105
777,STREET,23,1150255,1904702,41.89440789,-87.723608625,"(41.89440789, -87.723608625)",106
778,AUTO,40,1178153,1866392,41.788692744,-87.622313093,"(41.788692744, -87.622313093)",107
779,ALLEY,22,1152689,1913733,41.919141979,-87.714429901,"(41.919141979, -87.714429901)",108
780,TAVERN,59,1166228,1882035,41.831881201,-87.665592096,"(41.831881201, -87.665592096)",109
781,GAS STATION DRIVE/PROP.,30,1150170,1884913,41.840106225,-87.724436322,"(41.840106225, -87.724436322)",110
782,CHA STAIRWELL,38,1177111,1872201,41.804656783,-87.625958436,"(41.804656783, -87.625958436)",111
783,PORCH,23,1153457,1908561,41.904934309,-87.711745876,"(41.904934309, -87.711745876)",112
784,AUTO,20,1146375,1913752,41.919316814,-87.737628012,"(41.919316814, -87.737628012)",113
785,STREET,23,1147469,1908443,41.904727464,-87.733744836,"(41.904727464, -87.733744836)",114
787,APARTMENT,46,1197301,1846913,41.734785067,-87.55275366,"(41.734785067, -87.55275366)",115
788,APARTMENT,42,1185269,1864623,41.783674009,-87.596277178,"(41.783674009, -87.596277178)",116
789,STREET,27,1157565,1897241,41.873788515,-87.696964272,"(41.873788515, -87.696964272)",117
790,STREET,25,1142267,1903155,41.890314762,-87.752984928,"(41.890314762, -87.752984928)",118
792,PARKING LOT,21,1152824,1918773,41.932969483,-87.713800099,"(41.932969483, -87.713800099)",119
793,CLUB,26,1147505,1899662,41.88063075,-87.733837962,"(41.88063075, -87.733837962)",120
794,PORCH,73,1169932,1844093,41.727683995,-87.653102978,"(41.727683995, -87.653102978)",121
795,STREET,29,1152590,1893391,41.863323449,-87.715331944,"(41.863323449, -87.715331944)",122
797,STREET,38,1176338,1878880,41.823001981,-87.628592548,"(41.823001981, -87.628592548)",123
798,APARTMENT,29,1152641,1891598,41.858402243,-87.715192114,"(41.858402243, -87.715192114)",124
799,CHA APARTMENT,27,1156930,1897228,41.873765737,-87.699296047,"(41.873765737, -87.699296047)",125
800,AUTO,68,1170806,1860136,41.771689117,-87.649434254,"(41.771689117, -87.649434254)",126
801,APARTMENT,68,1172239,1856129,41.760662032,-87.644299022,"(41.760662032, -87.644299022)",127
802,STREET,27,1153446,1902189,41.887449145,-87.711955803,"(41.887449145, -87.711955803)",128
803,VESTIBULE,43,1194850,1854819,41.756540419,-87.561473074,"(41.756540419, -87.561473074)",129
806,HOUSE,61,1164554,1870574,41.800466462,-87.672057803,"(41.800466462, -87.672057803)",130
807,STREET,44,1183121,1846055,41.732771785,-87.604728989,"(41.732771785, -87.604728989)",131
809,CHA HALLWAY,38,1176455,1874785,41.811762307,-87.628286589,"(41.811762307, -87.628286589)",132
810,STREET,31,1164923,1888875,41.850678584,-87.670186515,"(41.850678584, -87.670186515)",133
